track_id,cam_id,start_frame,end_frame,start_ms,end_ms,start_common_clock_ms,end_common_clock_ms,n_frames,class_mode,mean_conf,median_conf,median_w,median_h,max_area_px,pct_edge_touch,pct_blurry,n_large_box_frames,n_non_edge_frames,n_sharp_frames,duration_ms,usable_track,best_frame_idx,best_source_timestamp_ms,best_common_clock_ms
417,garage,4643,4664,154921.43333333335,155622.13333333336,154921.43333333335,155622.13333333336,13,7,0.7053708273630875,0.7866970896720886,143.0,194.0,36366,0.07692307692307693,0.07692307692307687,13,12,12,700.7000000000116,True,4651,155188.36666666667,155188.36666666667
501,garage,5098,5112,170103.2666666667,170570.4,170103.2666666667,170570.4,13,2,0.7701738866475912,0.7885423302650452,74.0,172.0,19264,0.0,0.3076923076923077,8,13,9,467.1333333333023,True,5102,170236.73333333334,170236.73333333334
536,garage,5342,5354,178244.73333333334,178645.13333333336,178244.73333333334,178645.13333333336,12,7,0.590575230618318,0.5384349673986435,141.5,230.0,58305,0.5,0.5833333333333333,12,6,5,400.4000000000233,True,5345,178344.83333333334,178344.83333333334
196,garage,1801,1812,60093.36666666667,60460.4,60093.36666666667,60460.4,12,2,0.8332426995038986,0.8455934524536133,88.0,196.0,29145,0.0,0.75,9,12,3,367.03333333333285,True,1809,60360.3,60360.3
358,garage,3954,3983,131931.80000000002,132899.43333333335,131931.80000000002,132899.43333333335,12,2,0.6680903931458791,0.7182180881500244,170.5,143.0,26412,0.0,0.0,12,12,12,967.6333333333314,True,3962,132198.73333333334,132198.73333333334
158,garage,1605,1651,53553.5,55088.366666666676,53553.5,55088.366666666676,12,7,0.417822889983654,0.4000953882932663,106.5,137.0,19939,0.08333333333333333,0.0,12,11,12,1534.8666666666759,True,1628,54320.933333333334,54320.933333333334
684,garage,6434,7793,214681.13333333336,260026.43333333332,214681.13333333336,260026.43333333332,1321,2,0.7965869816030001,0.8111886382102966,126.0,159.0,230748,0.7464042392127176,0.0007570022710068347,1295,335,1320,45345.29999999996,False,7667,255822.23333333334,255822.23333333334
730,garage,7147,7894,238471.56666666668,263396.4666666667,238471.56666666668,263396.4666666667,710,2,0.6942690733872668,0.7470674216747284,25.0,110.0,284711,0.643661971830986,0.0,304,253,710,24924.899999999994,False,7742,258324.73333333337,258324.73333333337
706,garage,6751,7149,225258.3666666667,238538.30000000002,225258.3666666667,238538.30000000002,340,2,0.42802565755213007,0.42965157330036163,18.0,52.0,1596,1.0,0.0,0,0,340,13279.93333333332,False,7139,238204.63333333333,238204.63333333333
519,garage,5218,5553,174107.26666666666,185285.1,174107.26666666666,185285.1,336,2,0.9118975119753963,0.9406170547008514,269.0,235.0,122148,0.5625,0.0,311,147,336,11177.833333333343,False,5320,177510.6666666667,177510.6666666667
433,garage,4721,4862,157524.03333333333,162228.73333333334,157524.03333333333,162228.73333333334,133,7,0.6815965735822692,0.7150160670280457,246.0,159.0,106304,0.7819548872180451,0.20300751879699253,122,29,106,4704.700000000012,False,4734,157957.80000000002,157957.80000000002
718,garage,6944,7085,231698.13333333333,236402.83333333334,231698.13333333333,236402.83333333334,130,2,0.7341642776360878,0.7951641976833344,278.0,148.5,86970,0.5230769230769231,0.0,123,62,130,4704.700000000012,False,6983,232999.43333333335,232999.43333333335
622,garage,5645,5767,188354.83333333334,192425.56666666668,188354.83333333334,192425.56666666668,118,2,0.8083036092378325,0.8790579438209534,209.5,123.0,80432,0.5847457627118644,0.0423728813559322,106,49,113,4070.733333333337,False,5666,189055.53333333333,189055.53333333333
257,garage,2595,2721,86586.5,90790.7,86586.5,90790.7,118,7,0.6890940383329229,0.7155160009860992,249.0,146.0,68943,0.576271186440678,0.0847457627118644,111,50,108,4204.199999999997,False,2642,88154.73333333334,88154.73333333334
198,garage,1812,1932,60460.4,64464.399999999994,60460.4,64464.399999999994,116,2,0.796549042237216,0.86817666888237,226.5,137.0,52402,0.5172413793103449,0.24137931034482762,109,56,88,4003.9999999999927,False,1844,61528.13333333334,61528.13333333334
